,0,1,2
0,0.0,1.0,2.0
1,0.33,1.0,2.0
2,0.66,1.0,2.0
3,0.99,1.0,2.0
4,1.32,1.0,2.0
5,1.6500000000000001,1.0,2.0
6,1.98,1.0,2.0
7,2.31,1.0,2.0
8,2.64,1.0,2.0
9,2.97,1.0,2.0
10,3.3000000000000003,1.0,2.0
11,3.6300000000000003,1.0,2.0
12,3.96,1.0,2.0
13,4.29,1.0,2.0
14,4.62,1.0,2.0
15,4.95,1.0,2.0
16,5.28,1.0,2.0
17,5.61,1.0,2.0
18,5.94,1.0,2.0
19,6.2700000000000005,1.0,2.0
20,6.6000000000000005,1.0,2.0
21,6.930000000000001,1.0,2.0
22,7.260000000000001,1.0,2.0
23,7.590000000000001,1.0,2.0
24,7.92,1.0,2.0
25,8.25,1.0,2.0
26,8.58,1.0,2.0
27,8.91,1.0,2.0
28,9.24,1.0,2.0
29,9.57,1.0,2.0
30,9.9,1.0,2.0
31,10.23,1.0,2.0
32,10.56,1.0,2.0
33,10.89,1.0,2.0
34,11.22,1.0,2.0
35,11.55,1.0,2.0
36,11.88,1.0,2.0
37,12.21,1.0,2.0
38,12.540000000000001,1.0,2.0
39,12.870000000000001,1.0,2.0
40,13.200000000000001,1.0,2.0
41,13.530000000000001,1.0,2.0
42,13.860000000000001,1.0,2.0
43,14.190000000000001,1.0,2.0
44,14.520000000000001,1.0,2.0
45,14.850000000000001,1.0,2.0
46,15.180000000000001,1.0,2.0
47,15.510000000000002,1.0,2.0
48,15.84,1.0,2.0
49,16.17,1.0,2.0
50,16.5,1.0,2.0
51,16.830000000000002,1.0,2.0
52,17.16,1.0,2.0
53,17.490000000000002,1.0,2.0
54,17.82,1.0,2.0
55,18.150000000000002,1.0,2.0
56,18.48,1.0,2.0
57,18.810000000000002,1.0,2.0
58,19.14,1.0,2.0
59,19.470000000000002,1.0,2.0
60,19.8,1.0,2.0
61,20.130000000000003,1.0,2.0
62,20.46,1.0,2.0
63,20.790000000000003,1.0,2.0
64,21.12,1.0,2.0
65,21.45,1.0,2.0
66,21.78,1.0,2.0
67,22.11,1.0,2.0
68,22.44,1.0,2.0
69,22.77,1.0,2.0
70,23.1,1.0,2.0
71,23.43,1.0,2.0
72,23.76,1.0,2.0
73,24.09,1.0,2.0
74,24.42,1.0,2.0
75,24.75,1.0,2.0
